brand,name,fragrantica_url,gender,concentration,release_year,main_accords,notes_top,notes_heart,notes_base,notes_undifferentiated,longevity,sillage,season_winter_votes,season_spring_votes,season_summer_votes,season_fall_votes,day_votes,night_votes,fragrantica_rating
Memo Paris,African Leather,https://www.fragrantica.fr/parfum/Memo-Paris/African-Leather-31383.html,unisexe,Eau de Parfum,2015,warm spicy;aromatic;leather;patchouli;fresh spicy;oud;animalic;woody,Cardamome;Géranium;Poivre rose,Patchouli;Cannelle;Rose,Cuir;Oud;Ambre,,,,,,,,,,4.27
Memo Paris,Eau de Memo,https://www.fragrantica.fr/parfum/Memo-Paris/Eau-de-Memo-44229.html,unisexe,Eau de Parfum,2017,citrus;leather;green;animalic;fresh spicy;powdery;musky;fresh,Bergamote;Mandarine;Coriandre,Thé vert;Jasmin;Cyclamen,Cuir;Musc;Iris,,,,,,,,,,4.05
Memo Paris,French Leather,https://www.fragrantica.fr/parfum/Memo-Paris/French-Leather-28049.html,unisexe,Extrait de Parfum,2014,rose;citrus;leather;musky;soft spicy;aromatic;woody;floral,Citron vert;Poivre rose;Baie de genévrier;Bergamote,Rose;Sauge sclarée;Foin,Daim;Cèdre,,modéré (e),modéré (e),,,,,,,3.93
Memo Paris,Iberian Leather,https://www.fragrantica.fr/parfum/Memo-Paris/Iberian-Leather-72554.html,unisexe,Eau de Parfum,2022,woody;aromatic;warm spicy;leather;fresh spicy;earthy;oud;animalic,Géranium;Romarin;Coriandre;Bergamote,Safran;Clou de girofle;Iris;Rose;Cannelle;Osmanthus;Jasmin;Muguet,Cuir;Oud;Patchouli;Vétiver;Mousse de chêne;Ambre;Cèdre;Bois de santal;Sapin baumier;Musc;Vanille,,longue tenue,puissant,,,,,,,3.70
Memo Paris,Indian Leather,https://www.fragrantica.fr/parfum/Memo-Paris/Indian-Leather-95686.html,unisexe,Eau de Parfum,2024,woody;oud;amber;earthy;patchouli;warm spicy;fresh spicy;balsamic,Huile essentielle de cypriol,Rose;Jasmin,Oud;Patchouli;Résine oliban;Gousse de vanille;Styrax,,,,,,,,,,3.53
Memo Paris,Irish Leather,https://www.fragrantica.fr/parfum/Memo-Paris/Irish-Leather-18393.html,unisexe,Eau de Parfum,2013,aromatic;fresh spicy;leather;woody;animalic;smoky;green;fresh,Baie de genévrier;Poivre;Mandarine,Maté;Sauge sclarée;Iris,Cuir;Cèdre;Vétiver,,longue tenue,modéré (e),,,,,,,3.99
Memo Paris,Italian Leather,https://www.fragrantica.fr/parfum/Memo-Paris/Italian-Leather-21771.html,unisexe,Eau de Parfum,2013,aromatic;amber;leather;green;vanilla;powdery;balsamic;fresh spicy,Cuir;Feuille de tomate;Vanille,Feuille de tomate;Férule gommeuse;Racine d'iris;Ciste;Sauge sclarée,Cuir;Absolu de vanille;Benjoin;Baume de Tolu;Myrrhe;Opoponax;Bois de santal;Musc,,,,,,,,,,4.02
Memo Paris,Moroccan Leather,https://www.fragrantica.fr/parfum/Memo-Paris/Moroccan-Leather-51440.html,unisexe,Eau de Parfum,2018,aromatic;woody;green;leather;iris;earthy;powdery;animalic,Gingembre;Mandarine,Ylang-ylang;Beurre d'iris;Orange,Cuir;Férule gommeuse;Vétiver;Styrax;Fève de tonka;Ambre gris,,,,,,,,,,3.70
Memo Paris,Ocean Leather,https://www.fragrantica.fr/parfum/Memo-Paris/Ocean-Leather-60587.html,unisexe,Eau de Parfum,2020,aromatic;fresh spicy;citrus;woody;herbal;green;leather;violet,Mandarine;Basilic;Violette,Sauge;Élémi;Cèdre,Vétiver;Cuir;Noix de muscade,,,,,,,,,,3.95
Memo Paris,Oriental Leather,https://www.fragrantica.fr/parfum/Memo-Paris/Oriental-Leather-55347.html,unisexe,Eau de Parfum,2019,warm spicy;patchouli;fresh spicy;woody;aromatic;amber;cinnamon;leather,Framboise;Feuille de piment;Verveine,Cannelle;Lavande;Géranium,Patchouli;Résine oliban;Cuir,,longue tenue,puissant,,,,,,,3.79
